FMID,MostRecentOpeningDate
1000838,2014-12-13
1000840,2013-12-31
1000841,2013-10-26
1000842,2014-10-13
1000843,2016-12-31
1000844,
1000845,2016-10-20
1000846,
1000851,2013-10-31
1000855,2013-10-26
1000857,
1000859,2015-04-19
1000862,2013-12-31
1000863,2016-10-29
1000864,2014-10-18
1000865,
1000866,2013-09-29
1000868,2015-12-31
1000869,
1000870,
1000873,2012-12-31
1000874,
1000877,2014-10-25
1000880,2014-12-01
1000884,2016-12-31
1000886,2016-10-28
1000892,2014-10-30
1000896,2016-10-09
1000898,2013-10-16
1000899,
1000902,2014-06-10
1000905,2016-10-30
1000908,
1000909,
1000910,2015-10-27
1000913,2014-08-28
1000915,2013-10-19
1000917,2013-06-29
1000918,2016-12-31
1000922,
1000924,
1000926,2012-10-31
1000929,
1000933,2013-06-22
1000935,
1000937,2014-09-25
1000938,2014-11-22
1000939,2014-10-11
1000940,2013-10-12
1000941,2015-09-08
1000944,2014-09-24
1000946,2014-10-25
1000958,2017-04-01
1000959,
1000961,2015-05-01
1000962,2011-10-31
1000964,2014-08-30
1000968,2013-09-25
1000970,2014-10-25
1000972,2014-10-11
1000973,2014-10-08
1000974,2013-10-26
1000981,2013-12-31
1000986,2016-08-01
1000989,2013-10-30
1000991,
1000997,
1001001,
1001003,
1001005,2013-06-29
1001006,2016-10-29
1001012,2014-12-17
1001016,2014-09-07
1001018,2015-12-31
1001023,2014-11-26
1001025,2016-12-31
1001026,2014-12-31
1001029,2013-09-21
1001034,2016-10-13
1001037,2013-09-28
1001038,2014-10-25
1001046,2015-11-20
1001047,2015-08-27
1001048,2015-11-18
1001049,2015-12-14
1001052,2012-10-31
1001059,2016-10-28
1001063,
1001080,
1001083,2015-10-27
1001086,2014-10-17
1001093,2015-10-22
1001094,
1001097,2016-10-29
1001098,2020-01-01
1001100,
1001101,2013-11-16
1001102,2017-03-31
1001104,2015-10-19
1001105,2014-09-08
1001106,
1001111,
1001112,2016-12-31
1001115,2016-08-17
1001118,
1001119,2015-04-11
1001120,
1001125,
1001128,
1001131,2016-12-17
1001133,2013-10-11
1001135,2013-09-20
1001136,2013-10-03
1001137,2011-11-04
1001138,
1001139,2011-09-24
1001141,2013-10-03
1001142,2016-12-24
1001143,2014-11-23
1001145,
1001148,2014-10-29
1001149,2014-09-12
1001153,2015-10-31
1001155,
1001158,2014-10-26
1001160,2014-08-27
1001161,2013-09-28
1001166,2011-09-24
1001173,
1001174,
1001175,
1001177,
1001179,
1001187,2013-10-22
1001188,2013-11-30
1001192,
1001198,2014-10-25
1001199,2013-10-13
1001204,2014-09-25
1001205,2013-09-26
1001206,2014-09-30
1001214,2015-09-26
1001215,
1001216,2014-10-22
1001217,2014-10-12
1001218,2016-10-29
1001221,2014-09-10
1001229,2013-11-02
1001242,2016-12-31
1001244,2014-11-23
1001245,2015-10-24
1001247,2016-12-31
1001249,2013-11-02
1001252,2013-09-21
1001258,
1001259,
1001260,2016-10-25
1001261,2013-10-31
1001271,2013-10-15
1001272,2014-10-25
1001274,2013-09-27
1001275,2016-10-06
1001278,2014-12-13
1001280,2016-10-29
1001281,2014-10-04
1001282,2015-09-12
1001284,2015-05-30
1001287,2013-10-26
1001290,2015-10-25
1001296,2016-11-19
1001298,2014-09-13
1001301,2013-10-15
1001302,2013-10-15
1001303,2013-12-28
1001304,2013-09-12
1001312,2014-10-31
1001313,2013-10-25
1001314,2014-10-05
1001316,2016-10-29
1001317,2014-10-30
1001318,2013-12-31
1001319,2013-12-31
1001320,2013-12-31
1001325,2013-10-31
1001326,2014-09-06
1001329,
1001330,
1001331,
1001333,2013-10-17
1001335,2014-10-07
1001347,2015-10-25
1001355,2016-10-08
1001356,2014-09-24
1001357,2014-10-25
1001360,
1001362,2016-10-08
1001369,2012-10-31
1001370,
1001377,2014-10-26
1001378,2013-10-24
1001386,2015-10-22
1001388,2014-10-10
1001389,
1001390,2015-11-22
1001393,
1001394,2016-09-27
1001397,
1001398,
1001399,2016-12-21
1001400,2017-12-01
1001401,2016-12-01
1001403,2016-09-24
1001404,
1001405,2014-10-29
1001412,2015-12-31
1001422,2015-10-27
1001424,2014-05-31
1001425,2014-09-13
1001426,2014-10-11
1001429,2016-10-11
1001431,
1001435,2013-09-24
1001437,
1001439,
1001442,2015-10-31
1001457,2013-11-23
1001460,2013-12-31
1001461,2014-03-13
1001464,
1001465,
1001467,2016-09-24
1001473,2015-11-21
1001475,
1001482,
1001483,2014-10-29
1001486,2016-09-25
1001487,2012-09-01
1001489,
1001490,2014-09-30
1001491,2014-10-25
1001495,2015-04-25
1001505,
1001506,2014-09-26
1001509,2013-09-27
1001511,
1001514,2012-12-31
1001518,2016-09-17
1001519,2014-04-06
1001522,2014-11-12
1001523,
1001526,2013-09-26
1001527,2014-10-25
1001528,2015-04-11
1001530,
1001531,
1001532,
1001533,2014-10-30
1001534,2014-10-28
1001535,2014-11-12
1001536,2016-03-26
1001538,
1001540,
1001541,2012-10-31
1001545,2014-12-31
1001549,2014-09-24
1001563,2013-12-18
1001570,2014-10-30
1001575,2015-10-31
1001578,2013-11-27
1001584,
1001585,2013-10-29
1001586,2014-10-11
1001590,2013-09-27
1001592,2016-10-27
1001594,2014-10-25
1001595,2013-10-03
1001596,2013-07-31
1001597,2014-10-18
1001599,2016-10-29
1001600,
1001602,2013-10-13
1001603,
1001604,2014-10-23
1001611,2015-11-07
1001614,
1001615,
1001616,2013-10-19
1001621,
1001622,
