FMID,MostRecentOpeningDate
1003937,2016-12-31
1003951,2016-12-09
1003952,2014-10-25
1003954,
1003956,
1003959,
1003960,
1003961,2013-07-13
1003964,2015-12-31
1003969,
1003970,
1003971,2014-10-25
1003976,2014-10-31
1003977,2013-10-31
1003979,
1003980,2016-09-07
1003982,2016-10-14
1003985,2014-10-11
1003987,2013-10-17
1003988,2014-10-18
1003990,2013-12-31
1003991,
1003993,
1003996,2014-11-22
1004004,2014-10-22
1004007,
1004012,2014-08-30
1004014,
1004018,2014-10-12
1004020,2016-09-01
1004024,
1004033,2014-12-31
1004034,2014-12-31
1004038,2012-10-31
1004044,
1004049,2013-05-04
1004051,
1004052,2015-10-11
1004054,2014-09-27
1004055,2012-10-31
1004056,
1004063,2013-09-26
1004065,
1004066,2016-09-29
1004069,2014-12-31
1004070,2015-10-10
1004071,2014-10-14
1004072,2012-10-17
1004073,2014-11-20
1004074,2016-12-31
1004079,2013-09-04
1004080,2013-12-20
1004083,2014-12-31
1004086,2015-07-25
1004088,2013-09-11
1004097,2014-12-20
1004111,
1004122,2016-10-08
1004124,2015-10-22
1004129,2016-10-26
1004130,2014-10-01
1004131,2014-09-26
1004134,2016-11-28
1004137,2014-10-29
1004139,
1004145,2014-09-12
1004148,
1004153,2014-06-04
1004156,2015-10-31
1004157,2015-10-26
1004158,2014-10-10
1004160,
1004165,2016-12-18
1004166,2016-10-12
1004167,2016-09-29
1004168,2016-10-08
1004169,2016-09-30
1004170,2016-12-31
1004171,2016-12-18
1004172,2014-12-31
1004174,2016-10-01
1004175,2013-11-27
1004177,
1004180,2014-10-25
1004182,2014-10-22
1004183,
1004184,
1004185,2014-05-14
1004191,2015-11-21
1004192,2016-11-26
1004193,2016-11-29
1004194,2016-11-17
1004198,2014-11-02
1004199,2014-10-04
1004200,2012-10-31
1004201,2016-11-19
1004202,2015-09-27
1004206,2014-10-31
1004210,
1004212,2016-11-12
1004216,
1004217,2016-05-20
1004218,2014-10-25
1004223,2014-10-31
1004225,
1004226,
1004232,2013-10-26
1004233,2016-12-31
1004234,
1004237,
1004238,
1004244,2014-10-04
1004245,
1004248,
1004255,2015-09-27
1004256,
1004257,2016-09-15
1004258,2016-08-30
1004259,2016-10-19
1004263,2013-10-12
1004266,2015-11-07
1004267,2015-10-31
1004268,2012-10-31
1004269,2015-11-21
1004270,2016-10-29
1004271,2016-11-22
1004272,2015-12-19
1004274,2013-10-29
1004275,
1004276,
1004280,
1004281,2014-10-18
1004283,2013-10-11
1004285,
1004289,2015-10-15
1004291,2014-10-25
1004296,
1004297,2013-08-05
1004298,2014-10-03
1004299,2015-09-26
1004302,2013-10-31
1004304,2016-08-27
1004314,2016-10-01
1004318,
1004319,
1004320,
1004321,
1004324,2014-10-10
1004326,2013-10-12
1004336,2014-08-26
1004337,2013-12-04
1004344,2016-10-30
1004347,2016-11-12
1004349,2014-10-17
1004350,
1004352,2013-12-21
1004354,2014-10-02
1004355,2014-08-28
1004356,2013-10-30
1004360,2013-10-26
1004362,
1004366,2016-06-12
1004368,2014-11-21
1004370,2013-11-30
1004375,
1004376,2013-08-31
1004377,
1004378,2014-09-03
1004380,2013-09-18
1004382,2017-04-27
1004383,
1004384,2015-10-31
1004385,2014-06-16
1004387,
1004395,2016-04-16
1004396,2016-09-29
1004399,
1004400,2014-09-25
1004401,2013-06-28
1004403,2014-10-01
1004410,2013-08-29
1004412,
1004413,
1004414,
1004415,2014-09-20
1004417,2014-10-30
1004422,
1004425,
1004428,
1004429,2013-10-01
1004432,2014-09-04
1004434,2013-10-31
1004439,2015-03-21
1004440,2015-10-22
1004441,2014-11-15
1004444,2016-10-29
1004447,
1004448,
1004459,2014-09-04
1004461,
1004462,
1004463,2017-02-25
1004464,
1004465,2015-10-31
1004475,2013-10-05
1004476,
1004478,
1004480,
1004484,2014-09-21
1004485,2014-04-26
1004486,2014-10-25
1004492,2013-10-31
1004494,2016-11-19
1004499,2017-03-11
1004515,2016-09-21
1004516,2016-10-22
1004519,2013-12-27
1004522,2014-12-31
1004524,2014-10-15
1004525,
1004526,
1004527,
1004529,2016-10-01
1004534,2013-10-26
1004535,2014-04-26
1004538,2013-10-08
1004545,2014-10-11
1004549,2014-01-01
1004552,2016-09-27
1004553,
1004557,2015-10-03
1004560,2014-10-25
1004561,2015-10-01
1004567,
1004568,
1004573,2013-10-04
1004574,2013-10-17
1004575,
1004577,
1004578,
1004587,2014-10-11
1004592,2016-10-28
1004593,2013-12-31
1004595,2015-12-19
1004596,2015-10-11
1004597,2015-10-29
1004598,
1004599,
1004600,
1004602,2016-05-07
1004603,
1004605,2014-11-23
1004606,
1004609,2014-12-31
1004611,
1004614,2012-12-31
1004620,2014-04-30
1004632,
1004633,2014-12-20
1004635,
1004639,
1004643,2014-12-31
1004644,
1004645,2015-10-03
1004646,
1004648,2015-09-25
1004649,2016-10-16
1004651,2013-09-26
1004654,
1004657,2013-10-26
1004658,
1004661,
1004663,
1004669,2013-12-31
1004670,2013-12-31
1004675,
1004676,2016-09-28
1004678,2014-10-30
1004679,2012-09-12
1004680,2014-09-25
1004682,2013-11-23
1004683,2014-10-28
1004687,2015-10-31
1004688,2015-11-01
1004692,2015-10-28
1004695,2014-09-25
1004700,2016-10-12
1004701,
1004702,2014-11-29
1004704,
1004705,2013-11-23
1004708,2013-10-07
1004709,2014-10-04
1004715,2015-09-26
1004717,2015-04-07
1004719,2016-04-16
1004721,2014-09-28
1004723,2013-10-30
1004727,
1004730,
1004732,2013-10-26
1004735,2013-12-29
1004736,
1004737,
1004738,2014-12-13
1004743,2014-10-25
1004748,2016-04-23
1004750,2015-12-31
1004751,2014-12-31
1004752,2015-09-25
1004753,
1004754,2016-09-30
1004761,2014-09-30
1004762,2014-10-25
1004765,2014-10-25
1004767,2014-10-24
1004768,2014-10-04
1004770,2014-10-04
1004772,2014-10-25
1004773,2014-11-06
1004774,2014-10-25
1004776,2014-10-26
1004777,2013-10-26
1004778,2014-10-15
1004779,2014-11-15
1004780,2014-10-28
1004781,2014-09-05
1004782,2014-10-31
1004783,2014-10-05
1004784,2014-11-01
1004785,2014-10-28
1004786,2014-10-04
1004789,2014-12-20
1004790,2014-10-26
1004792,2014-10-22
1004793,2014-09-27
1004794,2013-10-12
1004795,2013-09-30
1004796,2014-10-25
1004797,2014-12-27
1004798,2014-10-28
1004803,2014-10-31
1004804,2014-09-27
1004805,2014-10-10
1004806,2014-10-31
1004807,2014-12-31
1004811,2015-10-18
1004812,2015-10-17
1004813,2015-08-26
1004815,2014-10-17
1004818,2012-05-31
1004825,
1004834,
1004835,2013-05-04
1004844,2013-11-02
1004846,2013-05-21
1004847,2013-09-28
1004848,2016-11-03
1004849,2013-12-14
1004851,
1004852,2011-10-13
1004854,2013-09-30
1004857,
1004862,2012-12-31
1004864,2013-11-05
1004865,2015-07-11
1004870,2016-10-22
1004872,
1004875,2013-10-08
1004876,2016-12-31
1004877,2016-10-26
1004878,2016-12-31
1004882,
1004884,2016-03-26
1004885,
1004890,2014-09-21
1004893,
1004908,2014-11-01
1004917,2013-10-18
1004919,2014-10-22
1004922,2016-10-11
1004926,2013-10-26
1004927,2015-12-31
1004928,2013-12-31
1004929,
1004933,2015-10-10
1004946,2017-04-29
1004948,2014-09-30
1004950,2014-11-15
1004959,2014-05-24
1004969,2013-10-01
1004979,
1004980,2016-10-01
1004984,
1004987,2013-09-26
1004988,2016-10-29
1004989,2016-09-27
1004990,2017-04-29
1004991,2016-11-19
1004993,2016-10-25
1004994,
1004998,2014-11-20
1005000,2015-12-31
1005004,
1005006,2013-12-19
1005007,2015-10-31
1005008,
1005022,
1005029,
1005035,
1005036,
1005037,2016-12-31
1005038,2013-11-07
1005040,2015-10-24
1005041,2014-09-30
1005042,2014-10-25
1005043,2014-09-25
1005044,
1005045,2014-12-31
1005046,
1005047,2014-10-09
1005048,2014-09-28
1005049,2016-10-28
1005054,
1005056,
1005059,2013-07-27
1005060,2013-10-10
1005062,2014-10-25
1005065,2015-10-27
1005067,2014-10-01
1005069,2015-12-31
1005073,2015-10-31
1005075,2013-09-27
1005076,
1005077,
1005078,2015-10-14
1005079,2016-09-18
1005080,2013-10-31
1005081,2013-09-29
1005082,2014-10-17
1005085,2014-10-25
1005086,2016-12-31
1005087,2016-12-10
1005092,2014-10-13
1005093,2015-10-03
1005098,2014-11-01
1005099,2014-10-04
1005101,
1005102,
1005103,
1005110,2013-09-24
1005112,
1005116,2014-10-04
1005120,2014-09-13
1005121,2013-10-05
1005124,2013-11-09
1005128,2015-10-29
1005129,2015-12-20
1005133,2016-12-03
1005134,2013-10-26
1005135,2015-09-25
1005136,2014-08-28
1005138,2016-10-29
1005139,
1005140,2014-10-25
1005145,
1005148,
1005149,
1005150,2013-08-21
1005153,
1005155,
1005158,2015-10-10
1005159,2014-12-31
1005160,2016-10-26
1005163,2013-10-12
1005169,2012-12-23
1005170,
1005172,
1005173,2016-09-15
1005175,2017-04-15
1005176,2016-12-31
1005177,2016-11-09
1005178,2016-11-12
1005181,2014-04-19
1005183,2013-12-15
1005184,2014-10-11
1005188,
1005192,
1005193,2012-10-31
1005197,2016-10-29
1005201,2014-10-16
1005204,2016-10-15
1005205,
1005207,
1005208,
1005210,2014-09-25
1005213,2014-09-06
1005214,2014-12-20
1005216,
1005217,2014-12-31
1005218,2016-09-16
1005219,
1005222,
1005223,
1005228,
1005230,
1005231,
1005232,
1005235,
1005239,
1005241,2013-10-26
1005242,2015-09-24
1005243,2014-12-31
1005248,2015-12-31
1005250,2015-12-31
1005252,2015-12-31
1005253,2015-12-31
1005254,2015-12-31
1005255,2015-12-31
1005256,2013-12-31
1005257,2015-12-31
1005258,2015-12-31
1005259,2015-12-31
1005260,2015-12-31
1005261,2015-12-31
1005262,2014-12-31
1005263,2015-12-31
1005264,2015-12-31
1005265,2015-12-31
1005266,2015-12-31
1005267,2015-12-31
1005268,2015-12-31
1005269,2015-12-31
1005270,2015-12-31
1005273,2014-10-18
1005274,
1005275,2016-10-29
1005277,2016-10-08
1005278,2013-11-30
1005279,2015-11-21
1005281,
1005282,2014-11-22
1005283,2013-10-26
1005285,2015-10-31
1005287,2014-10-11
1005290,
1005291,2015-10-14
1005294,2013-10-12
1005295,2015-11-15
1005296,2015-12-31
1005297,2015-12-31
1005298,2015-11-15
1005299,2015-11-15
1005300,2015-12-27
1005301,2015-11-15
1005302,2015-11-15
1005303,2015-11-15
1005304,2015-11-15
1005305,2015-11-15
1005306,2015-11-01
1005308,2015-11-01
1005309,2015-11-01
1005310,2015-11-01
1005312,2015-11-01
1005315,2015-11-15
1005316,2015-11-01
1005318,2015-11-01
1005319,2015-11-01
1005320,2015-11-01
1005321,2015-11-01
1005325,
1005326,
1005336,2015-10-08
1005339,2015-09-19
1005342,2014-12-17
1005345,2015-10-10
1005348,2014-12-20
1005349,
1005352,2015-12-20
1005358,
1005359,2016-11-19
1005367,2016-09-28
1005368,
1005370,2013-10-05
1005372,
1005377,
1005378,2013-10-01
1005379,
1005380,
1005385,
1005392,
1005397,
1005400,2015-09-12
1005411,2014-10-31
1005413,2014-10-30
1005415,2014-09-17
1005416,
1005420,2013-10-04
1005421,
1005424,2014-10-23
1005427,
1005428,2015-10-31
1005429,2015-10-28
1005430,
1005431,2016-04-09
1005435,
1005436,2012-10-31
1005439,
1005440,2017-05-14
1005441,
1005446,2016-10-13
1005447,2013-09-28
1005450,
1005452,2014-10-15
1005453,2014-10-18
1005454,2014-10-14
1005458,2016-12-31
1005459,2014-09-26
1005460,
1005461,2014-10-18
1005462,2014-10-15
1005463,2014-10-17
1005464,2016-09-21
1005469,2014-10-07
1005470,2014-11-23
1005471,
1005475,
1005476,
1005480,2015-10-10
1005482,2016-10-29
1005483,2014-11-22
1005485,2014-10-20
1005486,
1005489,2015-04-25
1005493,2014-12-01
1005494,
1005495,2013-10-12
1005497,2014-10-26
1005499,2014-10-25
1005500,
1005501,
1005505,2014-11-22
1005508,2014-10-04
1005514,
1005515,2014-10-05
1005519,2015-12-01
1005521,2014-12-01
1005524,2014-10-30
1005527,2017-03-04
1005528,2014-10-30
1005529,
1005530,2014-10-31
1005535,2014-12-31
1005536,2014-12-31
1005537,2014-12-31
1005538,2014-12-31
1005540,2016-10-29
1005541,
1005543,
1005548,2017-04-01
1005549,2014-10-30
1005554,2014-10-25
1005555,2016-10-29
1005557,2013-10-26
1005558,2015-03-14
1005559,2014-10-14
1005560,2016-12-31
1005562,2016-10-29
1005570,
1005586,2014-10-17
1005588,
1005589,2014-05-25
1005591,
1005592,2013-12-31
1005595,2016-12-31
1005596,
1005598,2014-10-30
1005599,2016-08-19
1005600,2015-12-31
1005601,2015-12-31
1005604,2016-02-27
1005607,2012-09-02
1005610,
1005611,2016-12-17
1005612,2015-10-09
1005618,
1005619,
1005620,
1005621,
1005622,
1005625,
1005628,2015-10-31
1005629,2015-09-24
1005631,2015-10-30
1005633,2013-10-26
1005636,2013-12-31
1005639,2014-08-30
1005642,2014-10-01
1005643,2014-05-10
1005644,2015-10-01
1005645,2015-10-01
1005646,2015-10-01
1005655,2014-10-25
1005657,2014-10-15
1005659,2013-08-29
1005660,2014-11-22
1005661,2015-09-26
1005663,
1005665,2013-12-31
1005671,2014-10-11
1005674,2014-11-15
1005675,2013-10-12
1005676,2016-10-13
1005677,2016-07-28
1005678,2016-10-06
1005680,2013-09-14
1005682,2013-10-12
1005683,2014-10-18
1005691,2013-10-31
1005692,2014-10-25
1005694,2014-09-15
1005696,
1005699,2014-10-25
1005700,
1005701,2013-10-12
1005705,2013-11-30
1005708,
1005709,2014-10-18
1005710,2015-10-29
1005711,2015-11-21
1005712,2013-10-07
1005714,2015-10-09
1005715,2016-10-29
1005716,2016-10-15
1005717,
1005718,
1005719,2014-10-26
1005724,
1005725,2012-06-17
1005727,2014-10-09
1005729,
1005730,
1005731,
1005734,2014-12-31
1005735,
1005737,
1005743,2016-10-29
1005744,
1005753,
1005758,2016-10-01
1005759,2014-12-31
1005763,
1005767,2014-10-04
1005772,2011-10-15
1005773,2017-02-18
1005775,2016-12-31
1005778,2014-12-31
1005779,2014-05-25
1005781,2013-11-02
1005783,
1005785,2014-09-24
1005786,
1005791,2014-10-25
1005795,
1005797,2015-04-18
1005799,2014-04-19
1005800,2012-10-31
1005801,2012-10-31
1005803,2013-10-26
1005804,2014-10-03
1005805,
1005806,2014-10-29
1005809,2014-10-29
1005810,2015-10-15
1005811,2014-10-01
1005816,
1005817,
1005821,2015-09-23
1005823,
1005829,2013-11-29
1005830,
1005831,
1005832,2014-01-12
1005834,2015-10-20
1005840,2016-10-14
1005843,
1005844,
1005845,
1005846,
1005848,2015-09-12
1005849,2014-09-27
1005852,2013-09-27
1005856,2013-10-27
1005857,
1005858,
1005859,2016-09-29
1005860,2014-09-01
1005862,
1005868,2014-10-18
1005869,2014-06-07
1005870,2015-10-28
1005871,2013-07-25
1005875,2016-10-15
1005876,
1005877,
1005878,2014-11-22
1005881,
1005882,2013-01-31
1005883,2013-10-26
1005884,2016-10-25
1005885,2017-04-15
1005889,
1005892,
1005897,2016-10-29
1005900,
1005902,
1005903,2016-10-06
1005905,2014-09-14
1005906,2015-01-01
1005909,
1005911,2014-10-11
1005912,2014-10-11
1005913,2014-09-27
1005920,2014-12-31
1005925,
1005932,2013-10-26
1005933,
1005934,
1005937,2016-10-29
1005939,2016-10-26
1005940,2016-12-18
1005941,2016-10-27
1005943,2016-12-17
1005944,2016-11-20
1005945,2013-10-12
1005948,2014-12-18
1005949,2014-09-30
1005950,2014-10-30
1005952,2016-09-21
1005953,2017-02-25
1005962,2016-10-27
1005967,2014-05-01
1005968,
1005969,
1005975,2016-12-31
1005978,
1005980,2013-12-31
1005983,
1005985,
1005988,2014-10-26
1005989,2014-10-29
1005990,2016-10-01
1005991,2015-05-01
1005992,
1005993,2012-08-31
1005994,
1006030,2014-12-31
1006031,2017-04-01
1006039,
1006042,2016-10-12
1006043,
1006051,
1006052,
1006055,
1006056,
1006058,2014-09-27
1006059,2013-10-02
1006060,2016-12-31
1006062,2016-10-29
1006064,
1006065,2014-10-25
1006069,
1006071,
1006072,
1006075,2013-10-31
1006077,
1006078,
1006081,2014-12-31
1006084,2014-10-25
1006089,2013-09-30
1006091,
1006093,2014-10-16
1006100,2014-12-31
1006101,2016-11-30
1006103,2016-11-26
1006104,2014-12-31
1006106,2014-10-11
1006113,
1006114,
1006118,
1006119,2013-10-26
1006135,2012-09-27
1006138,2016-09-08
1006141,2014-10-25
1006142,2014-11-22
1006146,2014-05-03
1006148,
1006151,2014-06-06
1006152,2014-09-03
1006156,
1006157,2014-10-31
1006158,2013-09-28
1006161,2015-09-04
1006165,2017-04-29
1006168,2015-01-01
1006170,2016-10-29
1006171,2014-10-10
1006173,
1006176,2014-10-25
1006177,2014-11-26
1006178,
1006179,
1006187,2013-10-31
1006188,2014-04-24
1006189,
1006190,
1006191,
1006192,
1006194,
1006198,2013-10-26
1006205,
1006206,
1006207,
1006219,2013-11-17
1006220,2013-11-16
1006224,
1006225,
1006228,2014-09-04
1006230,2014-10-30
1006237,
1006240,2015-10-14
1006243,2013-09-30
1006245,2014-09-20
1006250,2016-09-07
1006251,
1006252,2015-04-11
1006253,
1006255,2013-10-19
1006257,2013-10-24
1006258,
1006260,
1006261,
1006263,2015-11-05
1006264,2014-10-03
1006266,2015-10-31
1006268,
1006269,2014-11-01
1006273,2014-11-23
1006276,2014-10-25
1006280,2014-12-31
1006282,
1006285,2016-10-29
1006286,2015-01-01
1006290,2014-10-25
1006291,
1006294,2016-11-20
1006296,2016-10-30
1006299,
1006300,
1006302,2013-08-22
1006303,2016-10-07
1006304,2014-10-18
1006305,2014-10-08
1006306,2014-09-29
1006307,2016-09-24
1006310,2015-10-14
1006311,
1006316,2014-04-01
1006320,
1006321,
1006322,
1006324,2014-10-10
1006326,
1006327,2015-11-21
1006338,2014-11-14
1006342,2016-10-31
1006345,2013-10-05
1006349,2014-01-01
1006350,
1006352,2015-08-29
1006353,2015-11-21
1006357,
1006359,2016-11-20
1006366,2016-10-01
1006367,2014-10-04
1006368,2014-09-25
1006369,2013-10-10
1006370,2014-10-30
1006371,2014-11-18
1006372,2016-11-29
1006374,
1006376,2016-09-24
1006377,2013-09-28
1006378,2016-09-24
1006379,
1006381,2014-10-29
1006384,2014-11-29
1006385,2014-10-25
1006389,
1006396,
1006399,2014-10-25
1006408,
1006409,2014-09-30
1006410,2014-09-26
1006411,2014-12-31
1006414,
1006416,2015-10-31
1006417,2016-10-29
1006422,2015-10-10
1006423,2016-03-26
1006427,2014-09-25
1006428,2014-10-24
1006429,2014-10-28
1006434,
1006437,
1006449,2014-10-28
1006450,2014-03-01
1006451,2015-09-24
1006458,2015-10-20
1006460,2014-10-31
1006462,2014-09-27
1006463,
1006465,2014-10-26
1006466,
1006468,2013-09-12
1006470,2014-10-16
1006471,2013-11-30
1006472,2013-10-30
1006473,2015-10-02
1006474,2016-10-27
1006476,2015-10-30
1006481,
1006484,2013-10-15
1006487,2013-10-31
1006490,
1006492,2014-05-31
1006498,2015-04-18
1006501,2015-11-21
1006504,2015-09-26
1006508,
1006509,
1006513,2014-12-31
1006516,
1006518,
1006521,
1006523,
1006524,2015-10-25
1006525,2016-10-03
1006535,2014-10-25
1006537,2015-10-10
1006539,2013-12-17
1006540,2013-12-12
1006541,2014-10-22
1006542,2013-10-31
1006543,2014-10-04
1006545,
1006547,2014-12-27
1006548,
1006550,
1006554,
1006556,
1006557,
1006558,
1006559,
1006571,
1006572,
1006573,
1006582,
1006584,
1006585,
1006589,
1006595,
1006596,
1006600,
1006601,
1006614,
1006618,2013-08-31
1006621,2016-10-01
1006625,
1006630,2016-05-20
1006631,
1006634,2013-10-26
1006635,2015-03-28
1006636,2014-10-25
1006637,2013-09-13
1006639,2013-09-28
1006640,2013-09-25
1006641,2015-10-17
1006642,2013-09-06
1006643,2016-11-26
1006644,
1006647,2014-12-01
1006650,2014-05-01
1006651,2016-10-25
1006652,2015-12-31
1006660,
1006661,2016-12-31
1006665,2014-11-01
1006668,2014-10-09
1006670,
1006671,
1006674,2014-10-25
1006677,2014-10-18
1006678,2014-10-27
1006681,2016-10-08
1006684,2015-10-10
1006688,2012-09-01
1006689,2013-10-09
1006691,
1006692,
1006693,
1006698,2014-12-31
1006699,2013-11-02
1006701,
1006705,2013-09-28
1006708,
1006709,
1006710,
1006711,
1006713,
1006714,2014-12-27
1006720,2015-10-07
1006721,2014-09-01
1006722,
1006729,
1006730,2016-11-29
1006733,2016-10-01
1006734,2014-09-30
1006735,2014-10-11
1006737,2016-10-13
1006746,2016-09-20
1006747,
1006748,2014-10-15
1006749,2014-10-18
1006750,2014-10-08
1006754,2014-12-31
1006755,
1006759,2016-10-28
1006760,2013-09-26
1006764,2014-11-22
1006766,2016-10-26
1006775,
1006780,2016-10-22
1006781,2016-12-31
1006783,2016-10-25
1006787,2016-10-31
1006788,2017-04-29
1006790,2014-10-18
1006793,
1006794,
1006795,
1006796,
1006797,
1006798,
1006799,
1006800,
1006801,
1006802,
1006804,2015-10-25
1006806,2014-04-23
1006807,2015-09-08
1006809,2014-09-30
1006811,
1006812,2014-11-25
1006813,2015-04-25
1006820,2016-10-26
1006822,
1006826,2014-12-20
1006831,2016-09-23
1006832,
1006833,2016-10-27
1006834,2013-10-05
1006836,2016-10-15
1006837,2014-09-25
1006841,
1006845,2012-10-02
1006846,2014-10-12
1006847,2014-10-11
1006849,2016-09-24
1006851,2014-11-20
1006852,2014-11-15
1006853,2014-09-25
1006856,2013-09-26
1006857,2013-09-27
1006858,
1006859,2014-10-01
1006861,
1006869,2014-10-25
1006873,2016-09-24
1006880,2016-11-12
1006898,2016-10-08
1006903,2013-11-30
1006909,2013-09-14
1006911,
1006913,
1006915,
1006919,
1006923,2015-10-31
1006925,2016-10-27
1006926,
1006927,2016-10-29
1006929,2013-10-30
1006932,2014-10-25
1006938,2014-11-15
1006940,2014-09-25
1006943,2014-05-31
1006957,2013-10-05
1006963,2014-11-20
1006968,
1006978,2013-09-13
1006980,
1006988,2013-09-21
1006993,
1006994,2013-10-26
1006997,2014-09-25
1007002,2014-03-29
1007004,2014-12-31
1007015,
1007034,
1007222,
1007226,2016-11-05
1007230,
1007233,2014-05-26
1007236,2014-09-10
1007237,
1007239,2014-10-26
1007242,2014-10-25
1007245,2013-12-31
1007246,2014-09-25
1007247,2014-10-25
1007250,2014-10-25
1007258,2014-10-11
1007259,2016-11-19
1007260,
1007261,2014-10-29
1007262,2017-04-30
1007264,
1007267,2015-09-30
1007268,2013-10-29
1007271,2015-05-23
1007273,
1007275,
1007276,2016-12-17
1007277,
1007280,2013-10-30
1007282,
1007284,2015-10-25
1007289,2014-11-13
1007290,
1007291,
1007295,2013-12-31
1007299,2016-04-24
1007304,2015-02-22
1007305,
1007306,2015-03-28
1007309,2016-04-23
1007311,
1007312,
1007317,2014-10-26
1007319,2013-10-26
1007320,2014-10-10
1007321,2014-12-31
1007322,2014-12-31
1007324,
1007325,
1007326,
1007332,2016-10-06
1007334,2014-11-26
1007335,2016-10-14
1007336,2015-10-31
1007337,
1007338,2014-10-18
1007346,
1007347,2016-10-01
1007348,
1007349,
1007350,
1007351,
1007353,
1007354,
1007355,
1007356,
1007358,
1007360,2014-10-25
1007361,2013-09-27
1007366,2014-10-30
1007367,2014-09-27
1007369,2013-09-21
1007370,
1007371,2014-11-07
1007374,2014-12-17
1007376,2013-12-31
1007378,2014-10-30
1007379,2014-10-04
1007385,2014-10-10
1007386,
1007389,2014-12-10
1007397,2015-08-29
1007416,2013-10-26
1007418,2013-09-21
1007420,2012-10-31
1007425,2014-09-27
1007426,2016-10-29
1007431,2013-10-16
1007646,
1007647,2012-10-30
1007649,
1007650,
1007651,
1007668,
1007672,
1007678,2013-10-12
1007684,2014-11-21
1007691,2014-12-07
1007692,2014-11-19
1007693,2014-11-22
1007697,2013-11-24
1007710,2013-09-27
1007741,
1007752,
1007760,2015-10-23
1007773,2014-12-31
1007775,2015-12-31
1007777,2014-10-15
1007797,2015-11-07
1007798,2015-10-29
1007809,2017-04-22
1007812,2013-08-31
1007814,2013-11-30
1007999,2016-09-13
1008000,2015-09-17
1008001,2013-10-26
1008006,2016-12-24
1008008,2014-10-25
1008011,2016-12-18
1008012,2014-11-29
1008017,2014-12-31
1008020,2016-11-19
1008024,2014-12-31
1008037,
1008040,2014-09-26
1008041,2013-12-31
1008048,2014-10-11
1008053,2013-10-25
1008054,2015-12-31
1008055,2014-04-25
1008056,2016-12-22
1008057,2014-10-29
1008062,2015-12-31
1008065,2014-10-01
1008067,2016-09-29
1008068,2015-10-31
1008070,2014-11-23
1008071,2014-11-22
1008073,2014-09-26
1008076,2014-10-31
1008077,2013-10-16
1008078,2013-12-31
1008079,2014-10-04
1008083,2013-10-26
1008085,2013-11-23
1008090,2015-12-31
1008091,2015-12-31
1008092,2016-10-30
1008093,2014-10-29
1008095,2013-09-28
1008098,2015-10-31
1008101,2013-10-30
1008103,2015-08-26
1008104,2014-11-21
1008108,2014-10-26
1008109,2014-08-29
1008110,2014-11-15
1008114,2016-07-02
1008115,2014-11-01
1008116,2013-09-11
1008118,2015-12-31
1008119,2016-10-18
1008120,2015-04-04
1008121,2014-10-11
1008122,2016-10-03
1008124,2013-10-08
1008125,2015-10-10
1008126,2013-09-28
1008127,2015-10-31
1008128,2016-12-31
1008131,2013-09-25
1008133,2013-09-29
1008134,2016-10-26
1008135,2013-12-31
1008139,2014-02-22
1008140,2015-09-30
1008141,2013-09-14
1008144,2014-10-11
1008152,2014-12-31
1008154,2013-09-21
1008155,2013-12-31
1008158,2013-11-25
1008159,2013-12-31
1008160,2016-03-25
1008162,2014-12-31
1008163,2015-10-24
1008166,2014-12-31
1008170,2014-09-20
1008171,2014-12-31
1008172,2014-12-31
1008173,2017-12-01
1008174,2013-12-02
1008177,2015-10-31
1008179,2013-12-31
1008181,2013-10-03
1008193,2014-08-30
1008194,2014-09-27
1008195,2014-10-09
1008196,2016-10-14
1008197,2013-09-25
1008198,2014-10-16
1008199,2016-09-02
1008201,2015-09-26
1008203,2015-10-14
1008204,2013-10-26
1008205,2013-10-24
1008206,2014-10-29
1008208,2014-10-23
1008209,2014-11-23
1008210,2014-12-31
1008211,2013-08-31
1008213,2015-10-17
1008215,2016-12-10
1008216,2016-11-23
1008219,2013-10-18
1008221,2016-12-03
1008225,2016-10-27
1008226,2016-12-31
1008231,2015-09-17
1008236,2016-10-27
1008238,2013-10-26
1008239,2014-10-07
1008241,2013-10-26
1008242,2016-10-25
1008243,2014-11-22
1008244,2014-09-28
1008246,2013-10-15
1008247,2016-10-14
1008248,2014-11-01
1008250,2013-09-24
1008251,2014-12-20
1008257,2014-12-20
1008258,2014-10-25
1008259,2014-12-20
1008261,2014-10-30
1008262,2013-10-12
1008263,2013-12-31
1008265,2014-12-28
1008268,2014-10-09
1008271,2015-09-30
1008272,2015-10-25
1008273,2014-10-25
1008275,2016-12-31
1008276,2015-09-24
1008278,2014-09-24
1008284,2016-10-18
1008286,2014-10-12
1008288,2013-12-31
1008290,2014-10-18
1008291,2013-09-21
1008292,2014-11-20
1008293,2013-10-15
1008295,2013-12-05
1008296,2016-10-26
1008298,2014-12-20
1008299,2014-10-25
1008303,2016-10-01
1008305,2013-10-12
1008306,2016-09-24
1008307,2013-12-14
1008311,2016-10-29
1008314,2013-10-12
1008316,2016-04-24
1008318,2015-11-19
1008319,2014-10-26
1008320,2014-11-26
1008321,2014-09-30
1008322,2016-09-01
1008326,2016-10-29
1008332,2014-10-01
1008334,2015-10-31
1008335,2016-11-19
1008339,2014-04-25
1008340,2013-10-03
1008342,2013-10-27
1008345,2013-10-29
1008350,2013-09-22
1008360,2014-12-31
1008361,2013-10-05
1008362,2014-04-20
